Suchbegriff,Titel,Beruf,Arbeitgeber,Ort,Region,Land,PLZ,Veröffentlicht am,Eintrittsdatum,URL
Sales Manager,Sales-Manager/in,Sales-Manager/in,Salesianer Miettex GesmbH,Wien,Wien,Österreich,1220,2025-05-26,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/e6bf8fef-7cdc-3cdf-a063-ddfb447f9082
Sales Manager,Sales-Manager/in,Sales-Manager/in,BFI Berufsförderungsinstitut Steiermark Zentrale,Graz-Puntigam,Steiermark,Österreich,8055,2025-05-26,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/a27dacc2-666d-3c52-b383-e6a4d0e8622e
Sales Manager,Sales-Manager/in,Sales-Manager/in,BFI Berufsförderungsinstitut Steiermark Zentrale,Graz-Puntigam,Steiermark,Österreich,8055,2025-05-26,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/740d8334-925e-3ca0-9f6f-2990d144c8da
Sales Manager,Sales-Manager/in,Sales-Manager/in,Wolt Austria GmbH,Wien,Wien,Österreich,1030,2025-05-26,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/a3eaf823-4263-30b7-91df-5336a7c79c5b
Sales Manager,Sales-Manager/in,Sales-Manager/in,FUNK FUCHS GmbH,Sattledt,Oberösterreich,Österreich,4642,2025-05-26,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/00cc9067-f6b9-3969-92cc-9e4f345c803d
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Academic Work Germany GmbH,,Hamburg,Deutschland,,2025-05-26,2025-05-26,https://academicwork.hvnj.de/stellenangebot/sales-manager-mwd/545078.html?utm_source=hvnjba&_medium=organic
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Root GmbH,Mannheim,Baden-Württemberg,Deutschland,68161,2025-05-26,2025-06-15,https://bewerbung.jobs/f168aef7-c6a9-48c6-ab6e-4a7b5445ffd2?source=00119ac8-3a27-4400-916b-5fea8eefc2a6
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Velbert,Nordrhein-Westfalen,Deutschland,42551,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-ehms6-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,DIS AG,Mannheim,Baden-Württemberg,Deutschland,68159,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fpao1-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Dortmund,Nordrhein-Westfalen,Deutschland,44135,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-f3yf0-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Bönen,Nordrhein-Westfalen,Deutschland,59199,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fa9y4-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,BUERO LERSCH,"Neuenbürg, Württemberg",Baden-Württemberg,Deutschland,75305,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-ethxq-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Landsberg am Lech,Bayern,Deutschland,86899,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-eozp1-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,DIS AG,Dresden,Sachsen,Deutschland,01067,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fisby-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,BUERO LERSCH,Lauffen am Neckar,Baden-Württemberg,Deutschland,74348,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-f1073-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Wolfhagen,Hessen,Deutschland,34466,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fnton-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Hamburg,Hamburg,Deutschland,22763,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-evn15-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,HAPEKO Hanseatisches Personalkontor,Alsfeld,Hessen,Deutschland,36304,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-ejp45-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,DIS AG,Mainz am Rhein,Rheinland-Pfalz,Deutschland,55116,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fnvf3-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,BUERO LERSCH,Weißenhorn,Bayern,Deutschland,89264,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fiyhg-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Elements Personalberatung GmbH,Stuttgart,Baden-Württemberg,Deutschland,70173,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fhmr8-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,DIS AG,Dortmund,Nordrhein-Westfalen,Deutschland,44263,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fqrnh-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,DIS AG,"Weimar, Thüringen",Thüringen,Deutschland,99423,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fqrfd-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Mission Personal,Manching,Bayern,Deutschland,85077,2025-05-26,2025-05-27,https://www.persy.jobs/persy/l/job-fqdma-b
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,SIXT SE,"Essen, Ruhr",Nordrhein-Westfalen,Deutschland,45127,2025-05-24,2025-05-27,https://www.hogapage.de/jobs/sales-manager-in-essen/ON792Q-CR9/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt
Sales Manager,Sales-Manager/in,Sales-Manager/in,Falstaff Profi-GmbH,Wien,Wien,Österreich,1010,2025-05-23,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/912c6139-57b8-3835-9367-4065445d27d7
Sales Manager,Sales-Manager/in,Sales-Manager/in,Hawle Beteiligungs gesellschaft m.b.H.,Vöcklabruck,Oberösterreich,Österreich,4840,2025-05-23,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/aab34a96-6086-3929-bfb6-6baa18c1ee37
Sales Manager,Sales-Manager/in,Sales-Manager/in,EUREST GmbH,Wien,Wien,Österreich,1020,2025-05-22,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/93fdd3c0-62d6-3a5c-bd00-deb6f04306b5
Sales Manager,Sales-Manager/in,Sales-Manager/in,Containex Container-HandelsgmbH,Wiener Neudorf,Niederösterreich,Österreich,2351,2025-05-20,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/b92292e1-a214-354b-9f27-2ba7c5014423
Sales Manager,Sales-Manager/in,Sales-Manager/in,Containex Container-HandelsgmbH,Wiener Neudorf,Niederösterreich,Österreich,2351,2025-05-20,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/d4e42fcc-c486-3d6f-a964-68ece7481c25
Sales Manager,Sales-Manager/in,Sales-Manager/in,AT&S Austria Technologie & Systemtechnik AG,Leoben,Steiermark,Österreich,8700,2025-05-20,2025-05-23,https://jobs.ams.at/public/emps/jobs/uuid/74709229-8a8a-3f2f-8dd4-57bf0488a732
Sales Manager,Sales-Manager/in,Sales-Manager/in,Volvo Group Austria GmbH,Weisskirchen/Traun,Oberösterreich,Österreich,4616,2025-05-20,2025-05-21,https://jobs.ams.at/public/emps/jobs/uuid/e5d31f24-f88b-31d7-917d-d5fd2b57b1f0
Sales Manager,Sales-Manager/in,Sales-Manager/in,Loxone Electronics GmbH,Kollerschlag,Oberösterreich,Österreich,4154,2025-05-20,2025-05-21,https://jobs.ams.at/public/emps/jobs/uuid/809a3596-d267-3c98-ac54-032b4c33b8f7
Sales Manager,Sales-Manager/in,Sales-Manager/in,ECON GmbH,Weisskirchen/Traun,Oberösterreich,Österreich,4616,2025-05-19,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/394b07c6-cab1-392e-bffc-1ee094340098
Sales Manager,Sales-Manager/in,Sales-Manager/in,Siemens Mobility Austria GmbH,Wien,Wien,Österreich,1210,2025-05-19,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/d06cade6-96db-369a-8eaf-ad3555db5078
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Mövenpick Hotel Frankfurt City,Frankfurt am Main,Hessen,Deutschland,60327,2025-05-19,2025-05-20,https://www.hogapage.de/jobs/sales-manager-in-frankfurt-am-main/8LXBZB-FNY/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt
Sales Manager,Sales-Manager/in,Sales-Manager/in,DHL EXPRESS (AUSTRIA) GMBH,Wien,Wien,Österreich,1120,2025-05-16,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/991c87c1-cf50-39cb-b3cc-4047d2c06d58
Sales Manager,Sales-Manager/in,Sales-Manager/in,PC Electric Gesellschaft m. b.H.,Bundesland: Niederösterreich,,Österreich,,2025-05-16,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/286dbeba-4679-38cd-b62e-dd5eb931193e
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Parkhotel Egerner Höfe,Rottach-Egern,Bayern,Deutschland,83700,2025-05-16,2025-05-17,https://www.hogapage.de/jobs/sales-manager-in-rottach-egern/LSJK8W-JYL/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,SIXT SE,Rostock,Mecklenburg-Vorpommern,Deutschland,18055,2025-05-15,2025-05-27,https://www.hogapage.de/jobs/sales-manager-in-rostock/THP13E-ARS/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,SIXT SE,Berlin,Berlin,Deutschland,10179,2025-05-15,2025-05-27,https://www.hogapage.de/jobs/sales-manager-in-berlin/2KN5OQ-JCO/?hp_source=api-arbeitsamt&utm_medium=API&utm_source=arbeitsamt
Sales Manager,Sales-Manager/in,Sales-Manager/in,PC Electric Gesellschaft m. b.H.,Bundesland: Kärnten,,Österreich,,2025-05-15,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/ea9d87b3-a3f9-3c9a-b95c-bf8563afa3c0
Sales Manager,Sales-Manager/in,Sales-Manager/in,PC Electric Gesellschaft m. b.H.,Bundesland: Steiermark,,Österreich,,2025-05-15,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/fbed5aad-5a32-3aca-88a6-0408c7d0ab71
Sales Manager,Sales-Manager/in,Sales-Manager/in,PC Electric Gesellschaft m. b.H.,Bundesland: Wien,,Österreich,,2025-05-15,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/c23cf19a-77db-3051-ad33-c9fefc34a81f
Sales Manager,Sales-Manager/in,Sales-Manager/in,PC Electric Gesellschaft m. b.H.,Bundesland: Burgenland,,Österreich,,2025-05-15,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/59808246-7d3a-3220-82c9-1e14cd9412cd
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,t’works GmbH,Wien,Wien,Österreich,,2025-05-15,2025-05-15,https://jobboard.onapply.de/listing/292637?source=arbeitsagentur
Sales Manager,Sales-Manager/in,Sales-Manager/in,Falstaff Happy Life GmbH,Wien,Wien,Österreich,1010,2025-05-14,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/dfe821eb-e028-34a2-bb3e-81d544fd263a
Sales Manager,Sales-Manager/in,Sales-Manager/in,CONTAINEX Container Handelsgesellschaft m.b.H.,Kufstein,Tirol,Österreich,6330,2025-05-14,2025-05-21,https://jobs.ams.at/public/emps/jobs/uuid/a78cae5b-cb71-3c92-91de-e9c0559af365
Sales Manager,Sales Manager/in (m/w/d),Sales-Manager/in,Glasprofi24 GmbH,Oerlinghausen,Nordrhein-Westfalen,Deutschland,33813,2025-05-14,2025-05-16,https://www.jobware.de/job/055232307?jw_chl_seg=ARBEITSAGENTUR
Sales Manager,Sales-Manager/in,Sales-Manager/in,Salinen Austria AG,Ebensee,Oberösterreich,Österreich,4802,2025-05-14,2025-05-15,https://jobs.ams.at/public/emps/jobs/uuid/b25c383b-cec3-3aad-bff1-60d825391246
Sales Manager,Sales-Manager/in,Sales-Manager/in,Axavia Software GmbH,"Linz, Donau",Oberösterreich,Österreich,4020,2025-05-14,2025-05-15,https://jobs.ams.at/public/emps/jobs/uuid/1a1c0676-68cd-37ed-8aa9-2956b53ce3f9
Sales Manager,Sales-Manager/in,Sales-Manager/in,Axavia Software GmbH,"Linz, Donau",Oberösterreich,Österreich,4020,2025-05-14,2025-05-15,https://jobs.ams.at/public/emps/jobs/uuid/5bcaa95f-71af-32b7-9147-3d6982172c68
Sales Manager,Sales-Manager/in,Sales-Manager/in,Blue Tomato Zentrale,Salzburg,Salzburg,Österreich,5020,2025-05-14,2025-05-15,https://jobs.ams.at/public/emps/jobs/uuid/ce3fec4b-3547-3706-a037-dbb8dbbb16b6
Sales Manager,Sales-Manager/in,Sales-Manager/in,Blue Tomato Zentrale,Innsbruck,Tirol,Österreich,6020,2025-05-14,2025-05-15,https://jobs.ams.at/public/emps/jobs/uuid/d6ff39e5-1e57-3592-b876-c49e230ec39d
Sales Manager,Sales-Manager/in,Sales-Manager/in,PIDSO - Propagation Ideas & Solutions GmbH,Wien,Niederösterreich,Österreich,1230,2025-05-13,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/315669c3-e4ca-3868-ae55-e30131f1cd6d
Sales Manager,Sales-Manager/in,Sales-Manager/in,surgebright GmbH,"Linz, Donau",Oberösterreich,Österreich,4040,2025-05-13,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/4fffff42-46fe-38cd-bec0-b5c3aac2dd23
Sales Manager,Sales-Manager/in,Sales-Manager/in,Tom's IT Enterprise Solutions GmbH,Marchtrenk,Oberösterreich,Österreich,4614,2025-05-12,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/d0ae433f-d8b0-3791-8e1a-e10f1208b787
Sales Manager,Sales-Manager/in,Sales-Manager/in,Teufelberger Seil GmbH,Wels,Oberösterreich,Österreich,4600,2025-05-12,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/fda6bff2-f00a-3257-b9ff-8b952e0259e7
Sales Manager,Sales-Manager/in,Sales-Manager/in,Wüstenrot-Versicherungs AG,Salzburg,Salzburg,Österreich,5020,2025-05-11,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/24e04ebb-c1c3-3fe9-b0ac-492f0adb2624
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,FINEOO Inhaber Eric Martin,,,Deutschland,,2025-05-08,2025-05-27,https://www.job.fish/heyrecruit/64548_10961_6826b843d38ed?utm_campaign=heyrecruit-multiposting&utm_source=bundesagentur&utm_medium=kostenloses-multiposting
Sales Manager,Sales-Manager/in,Sales-Manager/in,ÖBB Infrastruktur AG,Wien,Wien,Österreich,1020,2025-05-08,2025-05-24,https://jobs.ams.at/public/emps/jobs/uuid/94b35723-5021-30e7-9ff7-dc8720c1c4d3
Sales Manager,Sales-Manager (m/w/d),Sales-Manager/in,acordiz GmbH,"Heidelberg, Neckar",Baden-Württemberg,Deutschland,69123,2025-05-08,2025-06-01,https://bewerbung.jobs/98af1b7d-b861-49bd-8741-7247ee740fc5?source=00119ac8-3a27-4400-916b-5fea8eefc2a6
Sales Manager,Sales-Manager (m/w/d),Sales-Manager/in,Randstad Deutschland,Leipzig,Sachsen,Deutschland,04109,2025-05-08,2025-05-20,https://jobboard.compleet.com/?externalId=4223888986
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,LM IT,Osnabrück,Niedersachsen,Deutschland,49078,2025-05-08,2025-05-12,https://www.jobexport.de/job/4759525.html?exp=81&cid=303731dd-e496-4ea6-9eb0-f7b4a20d5cba
Sales Manager,Sales-Manager/in,Sales-Manager/in,IVM Technical Consultants Wien Ges.m.b.H.,Graz,Steiermark,Österreich,8042,2025-05-07,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/6c533584-dfc8-3bbe-b777-c280fc17c340
Sales Manager,Sales-Manager (m/w/d),Sales-Manager/in,E.C. Communication,Bielefeld,Nordrhein-Westfalen,Deutschland,33647,2025-05-07,2025-05-25,https://www.online-stellenmarkt.net/job-hrba/241495759/
Sales Manager,Sales-Manager/in,Sales-Manager/in,DOTCOM Informationstechnik GmbH,Hausmannstätten,Steiermark,Österreich,8071,2025-05-07,2025-05-17,https://jobs.ams.at/public/emps/jobs/uuid/3f2b4373-08c7-36ef-8668-97a772bc88f6
Sales Manager,Sales-Manager/in,Sales-Manager/in,H.E.L.P. Gebäudereinigung GmbH,St. Pölten-Radlberg,Niederösterreich,Österreich,3105,2025-05-06,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/7c897159-3bd4-3bfd-9de9-6ee57203c6e8
Sales Manager,Sales-Manager/in,Sales-Manager/in,ÖBB Personenverkehr AG,Wien,Wien,Österreich,1100,2025-05-06,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/2a544324-a46d-32df-9db6-c439390ffa43
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,Mechatronic Medical Engineers GmbH,Darmstadt,Hessen,Deutschland,,2025-05-06,2025-05-08,https://jobboard.onapply.de/listing/189751?source=arbeitsagentur
Sales Manager,Sales Manager (m/w/d),Sales-Manager/in,K + G Tectronic GmbH,"Eschweiler, Rheinland",Nordrhein-Westfalen,Deutschland,52249,2025-05-06,2025-05-10,https://www.jobexport.de/job/4757720.html?exp=81&cid=b7284696-6985-4062-8e23-b09b6dc74a58
Sales Manager,Sales-Manager/in,Sales-Manager/in,Franz Achleitner Fahrzeugba u und Reifenzentrum GmbH,Radfeld,Tirol,Österreich,6241,2025-05-05,2025-05-20,https://jobs.ams.at/public/emps/jobs/uuid/60df6699-174c-3959-aa5e-5860a2329ea1
Sales Manager,Sales-Manager/in,Sales-Manager/in,Verkehrsbüro Hotellerie GmbH,Wien,Wien,Österreich,1020,2025-05-05,2025-05-07,https://jobs.ams.at/public/emps/jobs/BTR1675284_16809490
Sales Manager,Sales-Manager/in,Sales-Manager/in,Containex Container-HandelsgmbH,Wiener Neudorf,Niederösterreich,Österreich,2351,2025-04-29,2025-05-27,https://jobs.ams.at/public/emps/jobs/uuid/2fb9ec6d-b32f-3fe7-8331-5b8a055ff6e8
