Titel,Beruf,Arbeitgeber,Ort,Region,Land,PLZ,Veröffentlicht am,Eintrittsdatum,URL
Data Scientist,Data Scientist,conbex GmbH,Wien,Niederösterreich,Österreich,1230,2025-05-08,2025-05-23,https://jobs.ams.at/public/emps/jobs/uuid/e93214ad-d76c-32cc-83aa-39079e2e6aa8
Data Scientist (m/w/d),Projektingenieur/in,Fraunhofer-Institut für Produktionstechnologie IPT,Aachen,Nordrhein-Westfalen,Deutschland,52074,2025-05-06,2025-05-06,https://www.jobvector.de/job/52cdd11330c88ab1/?utm_source=arbeitsagentur&utm_medium=partner&utm_campaign=tmcfdae_job_jid228305&utm_content=b2c&utm_term=tmf8eca_uic3309aa4
Data Scientist (w/m/d),Data Scientist,50Hertz Transmission GmbH AD Berlin,Berlin,Berlin,Deutschland,10557,2025-04-15,2025-05-19,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001353223-S
Data Scientist,Data Scientist,AIT Austrian Institute of Technology GmbH,Wien,Wien,Österreich,1210,2025-05-02,2025-05-23,https://jobs.ams.at/public/emps/jobs/uuid/aa2f6fff-4645-3685-99c8-2fa84d72de6a
Data Scientist,Data Scientist,smartpoint dataformers,Bundesland: Wien,,Österreich,,2025-04-28,2025-05-21,https://jobs.ams.at/public/emps/jobs/uuid/651c0a6e-33f0-3468-a729-65b457fa78a9
Data Scientist,Data Scientist,UNIVERSITÄT für BODENKULTUR WIEN,Wien,Wien,Österreich,1180,2025-04-24,2025-05-01,https://jobs.ams.at/public/emps/jobs/BTR238510_16794119
Data Scientist,Data Scientist,UNIVERSITÄT für BODENKULTUR WIEN,Wien,Wien,Österreich,1180,2025-04-24,2025-05-01,https://jobs.ams.at/public/emps/jobs/BTR238510_16794244
Data Scientist,Data Scientist,Erste Group Bank AG,Wien,Wien,Österreich,1100,2025-04-17,2025-05-20,https://jobs.ams.at/public/emps/jobs/uuid/39025854-7944-325f-9e5b-66fcf4b4c647
Data Scientist,Data Scientist,Infineon Technologies Austria AG,Villach,Kärnten,Österreich,9500,2025-04-16,2025-05-15,https://jobs.ams.at/public/emps/jobs/uuid/855b0aa4-2fc9-3cdd-ba80-0d2d12b29f9c
Data Scientist (m/w/d),Data-Warehouse-Analyst/in,CANCOM SE,München,Bayern,Deutschland,80636,2025-03-20,2025-04-23,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=18935-1706526-S
Data Scientist,Data Scientist,HOFER KG,Sattledt,Oberösterreich,Österreich,4642,2025-04-09,2025-05-12,https://jobs.ams.at/public/emps/jobs/uuid/81729d5e-a8ce-32b0-bf21-f534d49d0ac8
Data Scientist,Data Scientist,Unser Ö-Bonus Club GmbH,Wien,Wien,Österreich,1120,2025-04-08,2025-05-23,https://jobs.ams.at/public/emps/jobs/uuid/aadff79d-b471-3fa8-bba4-01aaffe3c796
Data Scientist (m/w/d),Data Scientist,Lantenhammer Consulting,München,Bayern,Deutschland,,2021-08-27,2025-05-22,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1185445644-S
Data Scientist,Data Scientist,Wimmer Medien GmbH & Co.KG.,"Linz, Donau",Oberösterreich,Österreich,4020,2025-04-03,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/84f78f37-b790-3c89-a649-cf61f275178e
Data Scientist,Data Scientist,Wimmer Medien GmbH & Co.KG.,"Linz, Donau",Oberösterreich,Österreich,4020,2025-04-03,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/143f7e5c-654b-3ceb-8baf-33ff9446b44d
Data Scientist,Data Scientist,Falstaff Verlags GmbH,Wien,Wien,Österreich,1010,2025-04-02,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/20f71a69-42d0-3571-a32c-b2072f8bf5b3
Data Scientist,Data Scientist,SSC GmbH,"Hoheneich, NÖ",Niederösterreich,Österreich,3945,2025-04-02,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/b61dd33b-7da5-3f1f-bc63-1dca3aae4593
Data Scientist,Data Scientist,HOFER KG,Sattledt,Oberösterreich,Österreich,4642,2025-03-28,2025-05-12,https://jobs.ams.at/public/emps/jobs/uuid/60e48301-ebb7-3d21-b1f5-ad8ef52cbde4
Data Scientist,Data Scientist,Lam Research AG,Villach,Kärnten,Österreich,9500,2025-03-21,2025-05-17,https://jobs.ams.at/public/emps/jobs/uuid/5f2f2c9a-fecf-3437-b8e9-74178dec4d68
Data Scientist,Data Scientist,MANOVA GmbH,Wien,Wien,Österreich,1010,2025-03-19,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/4df7f236-42d7-3cab-af0f-d521bf6cb80f
Data Scientist,Data Scientist,HOFER KG,Sattledt,Oberösterreich,Österreich,4642,2025-03-17,2025-05-12,https://jobs.ams.at/public/emps/jobs/uuid/3ee1fd67-a912-3e2f-8ed0-c6557ffe0b54
Data Scientist,Data Scientist,Silhouette International Schmied AG,"Linz, Donau",Oberösterreich,Österreich,4020,2025-03-13,2025-05-21,https://jobs.ams.at/public/emps/jobs/uuid/5fd160bf-77d2-3590-ab7b-6a46477b3e3a
Data Scientist,Data Scientist,Cops Gesellschaft für angewandte Systemanalyse und Programmierung Ges.m.b.H,Wien,Wien,Österreich,1140,2025-03-11,2025-05-16,https://jobs.ams.at/public/emps/jobs/uuid/5708fa87-361f-3807-a286-63572c73841f
Data Scientist,Data Scientist,ÖBB-Business Competence Center GmbH,Wien,Wien,Österreich,1020,2025-01-23,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/b8a33077-d9f4-36be-b452-7b3959c1ca71
Data Scientist,Data Scientist,Smarter Ecommerce GmbH,"Linz, Donau",Oberösterreich,Österreich,4020,2025-01-21,2025-05-22,https://jobs.ams.at/public/emps/jobs/uuid/eed63a83-6629-3981-bac6-385463c28a71
Data Scientist,Data Scientist,XXXLdigital Linz,"Linz, Donau",Oberösterreich,Österreich,4020,2024-12-19,2025-05-23,https://jobs.ams.at/public/emps/jobs/uuid/66f932ea-61ba-32bb-a5d1-41809bb21ccd
Senior Data Scientist (m/w/d),Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50672,2025-05-22,2025-05-29,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-221545-S
(Senior) Data Scientist (w/m/d),Data Scientist,1 & 1 Mail & Media Applications SE,"Karlsruhe, Baden",Baden-Württemberg,Deutschland,76135,2025-05-20,2025-05-21,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001437488-S
Data Scientist (m/w/d) Schwerpunkt Geheimhaltung,IT-Berater/in,Information und Technik Nordrhein-Westfalen (IT.NRW),Düsseldorf,Nordrhein-Westfalen,Deutschland,40476,2025-05-19,2025-06-05,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15643-01-nfjVrD-S
Data Consultant (m/w/d),Data Scientist,zeb,Berlin,Berlin,Deutschland,10117,2025-05-21,2025-06-21,https://studyflix.de/jobs/angebote/377792?l=704353&utm_source=ba
Data Scientist (m/w/d) mit Berufserfahrung,Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50672,2025-05-09,2025-05-16,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-220702-S
Data Scientist (m/w/d) mit Schwerpunkt auf Python und...,Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50672,2025-04-09,2025-04-16,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-218385-S
Data Scientist (m/w/d),Informatiker/in,iOMEDICO AG,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79106,2025-04-08,2025-04-08,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001327175-S
Data Engineer (m/w/d),Data Scientist,BioNTech SE,Mainz am Rhein,Rheinland-Pfalz,Deutschland,55131,2025-05-14,2025-05-20,https://www.jobvector.de/job/data-engineer-8b30288733d75940/?utm_source=arbeitsagentur&utm_medium=partner&utm_campaign=tmcfdae_job_jid228662&utm_content=b2c&utm_term=tmf8eca_uicff191db
Data Scientist (m/w/d)Informationstechnik (,Data Scientist,AOK Rheinland-Pfalz/Saarland Direktion,,Rheinland-Pfalz,Deutschland,,2025-05-07,2025-05-09,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202421048-S
jr. Data Scientist (m/w/d),Data Scientist,evocenta GmbH,Gelsenkirchen,Nordrhein-Westfalen,Deutschland,45886,2024-10-14,2025-03-11,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000754251-S
Data Scientist (m/w/d),Informatiker/in,evocenta GmbH,Gelsenkirchen,Nordrhein-Westfalen,Deutschland,45886,2024-10-09,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000738586-S
Data Scientist (w/m/d),Informatiker/in,PSI Technics GmbH,"Winningen, Mosel",Rheinland-Pfalz,Deutschland,56333,2025-03-06,2025-05-13,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1201827806-S
Data Scientist (aGw*),Data Scientist,Lindner SE,Arnstorf,Bayern,Deutschland,94424,2024-01-22,2025-03-05,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1197574083-S
Data Scientist (m/w/d),Informatiker/in,Universitätsklinikum Aachen AöR,Aachen,Nordrhein-Westfalen,Deutschland,52074,2025-05-08,2025-05-16,https://www.jobvector.de/job/data-scientist-47c0b8d06e844e38/?utm_source=arbeitsagentur&utm_medium=partner&utm_campaign=tmcfdae_job_jid228451&utm_content=b2c&utm_term=tmf8eca_uic0dc7e4e
Senior Data Scientist (m/w/d),Softwareentwickler/in,Steadforce,München,Bayern,Deutschland,80686,2025-05-01,2025-05-01,https://germantechjobs.de/jobs/Steadforce-Senior-Data-Scientist-mwd?utm_source=ba_int&utm_medium=ba_int&utm_campaign=ba_int
Data Engineer (m/w/d),Data Scientist,Hays AG,Köln,Nordrhein-Westfalen,Deutschland,,2025-03-03,2025-03-03,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-786025/1_535748LS-S
(Senior) Data Scientist (m/w/d),Data Scientist,Hyand Group,Dortmund,Nordrhein-Westfalen,Deutschland,44135,2025-04-28,2025-05-19,https://www.yourfirm.de/job/detail/20250518-27682130/?utm_campaign=free&utm_source=bundesagentur&utm_medium=unpaid-partner
Medical Data Scientist (m/w/d),Datenbankentwickler/in,Techniker Krankenkasse,Hamburg,Hamburg,Deutschland,22085,2025-04-26,2025-04-26,https://www.get-in-it.de/jobsuche/p287411?utm_source=arbeitsagentur&utm_medium=cpc&utm_campaign=launch-premium
KI Data Scientist (m/w/d),Data Scientist,DATASEC information factory GmbH,Siegen,Nordrhein-Westfalen,Deutschland,57072,2025-04-24,2025-04-24,https://www.karriere-suedwestfalen.de/stellenangebot/ki-data-scientist-671850
Senior Data Scientist (m/w/d),Wirtschaftsinformatiker/in (Hochschule),Mediengruppe Oberfranken GmbH & Co. KG,Bamberg,Bayern,Deutschland,96050,2025-05-22,2025-05-23,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17006-1311-1692625-0-S
Data Scientist - Liaison-Officer m/w/d,Data Scientist,Umweltbundesamt Dessau-Roßlau,Dessau-Roßlau,Sachsen-Anhalt,Deutschland,06844,2025-05-21,2025-07-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202576287-S
Spezialisten (m/w/d) Kapitalanlagen,Data Scientist,Öffentliche Versicherung Braunschweig,Braunschweig,Niedersachsen,Deutschland,38122,2025-05-22,2025-05-22,https://jobs.candooze.com/view/static/bapub/58272
Entwickler Datenbanken (m/w/d) / Data Scientist,Datenbankentwickler/in,socoto gmbh & co. kg,Trier,Rheinland-Pfalz,Deutschland,54292,2025-05-08,2025-05-09,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001404181-S
Big Data Scientist / Data Analyst (w/m/d),Mathematiker/in,prognum Automotive GmbH,Stuttgart,Baden-Württemberg,Deutschland,70597,2025-05-05,2025-05-12,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15006-k40180.1055-S
Master Data Manager (m/w/d),Data Scientist,Albert Ziegler GmbH,Giengen an der Brenz,Baden-Württemberg,Deutschland,89537,2025-05-15,2025-05-15,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202505077-S
wissenschaftliche/n Mitarbeiter/in (Data Scientist) (m/w/d),Hydrologe/Hydrologin,"Hessisches Landesamt für Naturschutz, Umwelt und Geologie",Wiesbaden,Hessen,Deutschland,65203,2025-05-08,2025-05-08,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001405275-S
Data Scientist (m/w/d) für unser Controlling,Data Scientist,DAMPSOFT GmbH,Damp,Schleswig-Holstein,Deutschland,24351,2025-05-15,2025-05-15,https://www.kalaydo.de/jobs/15101054/?utm_id=ba&utm_source=bundesagentur&utm_medium=unpaid-partner&utm_campaign=000&campaign=ba
Data Scientist (all genders),Data Scientist,BORA Lüftungstechnik GmbH,Kiefersfelden,Bayern,Deutschland,83088,2025-02-04,2025-04-29,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000975980-S
Data Scientist d/w/m,Informatiker/in,RWE Generation SE,"Essen, Ruhr",Nordrhein-Westfalen,Deutschland,45141,2025-04-24,2025-04-24,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202312593-S
(Senior) Data Scientist - Python (m/w/d),Data Scientist,Oskar Böttcher GmbH & Co. KG,Berlin,Berlin,Deutschland,10713,2025-05-05,2025-05-06,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17869-0055913917-S
(Senior) Data Scientist mit Schwerpunkt Forecasting (m/w/d),Data Scientist,EDEKA ZENTRALE Stiftung & Co. KG,Hamburg,Hamburg,Deutschland,22297,2025-04-16,2025-05-15,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13334-00005f5a8c0001-S
Data Scientist (m/w/d) mit variablem Anteil,Data-Warehouse-Analyst/in,AMADEUS FIRE AG,Köln,Nordrhein-Westfalen,Deutschland,50667,2025-03-19,2025-03-26,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12862-216625-S
KI-Entwickler (m/w/d),Data Scientist,Northrop Grumman LITEF GmbH,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79115,2025-05-13,2025-06-13,https://studyflix.de/jobs/angebote/402036?l=705947&utm_source=ba
Referent Data Governance (m/w/d),Data Scientist,TenneT TSO GmbH,Bayreuth,Bayern,Deutschland,95448,2025-05-11,2025-05-11,https://www.jobware.de/job/055569118?jw_chl_seg=ARBEITSAGENTUR
Clinical Data Manager (m/w/d),Data Scientist,Deutsches Herzzentrum München des Freistaates Bayern,München,Bayern,Deutschland,80636,2025-04-22,2025-05-22,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17378-98501X295675-S
Professur für Data Science (m/w/d),Data Scientist,Duale Hochschule Baden-Württemberg,"Ravensburg, Württemberg",Baden-Württemberg,Deutschland,88212,2025-04-25,2025-05-23,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001375584-S
Data Scientist (m/w/d) [Kziff.CL68AV98],Data Scientist,avivar experts GmbH,Holzwickede,Nordrhein-Westfalen,Deutschland,59439,2025-03-12,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001235983-S
(Senior) Data Scientist Analytics (m/w/d),Data Scientist,REWE Group,Köln,Nordrhein-Westfalen,Deutschland,50933,2024-01-01,2025-05-03,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=12608-1062149-28033-1-S
(Senior) Data Engineer (m/w/d),Data Scientist,Hays AG,Burgwedel,Niedersachsen,Deutschland,30938,2025-02-24,2025-02-24,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-785583/1_534458LS-S
Data Scientist (m/w/d) [Kziff.OK6898],Data Scientist,L&W CONSOLIDATION GmbH,Holzwickede,Nordrhein-Westfalen,Deutschland,59439,2025-01-27,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000213699-S
Data Scientist / MLOps Engineer (w/m/d),Data Scientist,50Hertz Transmission GmbH,Berlin,Berlin,Deutschland,10178,2025-04-24,2025-05-14,https://jobs.jobspreader.com/viewjob-hgvpf?utm_source=jsba-premium&utm_medium=n-a&utm_campaign=it&utm_term=data-scientist-mlops-engineer-w-m-d
Werkstudent:in Data Science,Data Scientist,nerou GmbH,Köln,Nordrhein-Westfalen,Deutschland,50939,2025-04-24,2025-05-16,https://www.jobexport.de/job/4742205.html?exp=204&cid=1298
Data Compliance Technologist (m/w/d),Data Scientist,Deloitte GmbH,Leipzig,Sachsen,Deutschland,04317,2025-02-07,2025-05-23,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15794-464197_47253-1-S
Data/BI Specialist (m/w/d),Data Scientist,Hamburger Hafen und Logistik AG,Hamburg,Hamburg,Deutschland,20457,2025-01-28,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15023-0007530133e001-S
Generalist Data Protection (m/w/d),Data Scientist,Hays AG,Hannover,Niedersachsen,Deutschland,,2025-03-31,2025-03-31,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-814702/1_543224LS-S
Data Scientist (m/w/d) - Data Analytics Expert,Softwareentwickler/in,Ratbacher GmbH,Bielefeld,Nordrhein-Westfalen,Deutschland,33611,2025-03-07,2025-05-04,https://deutschland-stellenmarkt.de/job_show.php?id=bfa$bfa_11112-45419-1675762-0-S
Data Scientist für vertrauenswürdige KI,Informatiker/in,Fraunhofer-Gesellschaft e.V. Zentrale München,Sankt Augustin,Nordrhein-Westfalen,Deutschland,53757,2025-05-22,2025-09-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15861-43401112-521-S
Abteilungsleitung (m/w/d) Vertriebscontrolling und -steuerung,Data Scientist,Öffentliche Versicherung Braunschweig,Braunschweig,Niedersachsen,Deutschland,38122,2025-05-23,2025-05-23,https://jobs.candooze.com/view/static/bapub/58306
Junior Algorithm Engineer (m/w/d),Data Scientist,Vodafone GmbH,Berlin,Berlin,Deutschland,10115,2025-05-23,2025-06-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17102-43404140-522-S
Strategic Account Manager / Data Management (m/w/d),Data Scientist,Hays AG,,,Deutschland,,2025-05-22,2025-05-22,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-821612/1_552280LS-S
"Data Scientist (m/w/d)  - Geldanlage, München",Data-Warehouse-Analyst/in,CHECK24,München,Bayern,Deutschland,80636,2025-02-28,2025-04-30,https://www.finest-jobs.com/Stellenanzeige/Data-Scientist-D-Geldanlage-1098955?cp=BA
Claims Data Scientist (m/f/d)*,"Tester/in, Testperson",Münchener Rückversicherungs AG,München,Bayern,Deutschland,80802,2025-05-21,2025-05-21,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001426786-S
Data Scientist Optical Spectroscopy (w/m/d),Forschungs- und Entwicklungsingenieur/in,Analytik Jena GmbH+Co. KG,Jena,Thüringen,Deutschland,07745,2025-05-20,2025-05-20,https://thaff-thueringen.de/Stellenangebote/data-scientist-optical-spectroscopy-w-m-d
Manager Hyperautomation (f/m/d),Data Scientist,Heidelberg Materials AG,"Heidelberg, Neckar",Baden-Württemberg,Deutschland,69120,2025-05-15,2025-05-15,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=17645-BB-632048-7878-6672-S
Zwei Wissenschaftliche Mitarbeiter/-innen,Data Scientist,Statistisches Bundesamt,Wiesbaden,Hessen,Deutschland,65189,2025-05-12,2025-05-12,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001413984-S
Data Governance & Management Specialist (w/m/d),Data Scientist,GEA Group Aktiengesellschaft,"Oelde, Westfalen",Nordrhein-Westfalen,Deutschland,59302,2025-05-09,2025-06-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=18741-398324491-S
Full-Stack Data Scientist (m/w/d) in Vollzeit,Data Scientist,Bad Apotheke Apotal,Hilter am Teutoburger Wald,Niedersachsen,Deutschland,49176,2025-04-24,2025-04-24,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202308680-S
Data Scientist mit Schwerpunkt Machine Learning (d/m/w),Data Scientist,Haufe Group SE,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79106,2025-05-15,2025-05-15,https://jobs.jobspreader.com/viewjob-8gckk?utm_source=jsba-premium&utm_medium=n-a&utm_campaign=it&utm_term=data-scientist-mit-schwerpunkt-machine-learning-d-m-w
Senior Data Scientist – Quantitatives Portfoliomanagement (w/m/d),Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,Deutschland,96450,2025-04-03,2025-04-10,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10000-1202125626-S
Data Scientist*in Reinforcement Learning,Informatiker/in,Fraunhofer-Gesellschaft e.V. Zentrale München,Sankt Augustin,Nordrhein-Westfalen,Deutschland,53757,2025-05-06,2025-08-01,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15861-43360429-55-S
Fachleiter Master Data Governance  (m/w/d),Data Scientist,Hays AG,,,Deutschland,,2025-04-28,2025-04-28,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=13319-816988/1_545366LS-S
Senior Data Scientist (m/w/d),Growth-Manager/in,ORDIX AG,Paderborn,Nordrhein-Westfalen,Deutschland,33100,2025-05-08,2025-05-23,https://www.job.fish/heyrecruit/71224_19517_682bfe43eeb33?utm_campaign=heyrecruit-multiposting&utm_source=bundesagentur&utm_medium=kostenloses-multiposting
"Data Analyst / Data Scientist (m/w/d), Freiburg im Breisgau",Data-Warehouse-Analyst/in,JobRad GmbH,Freiburg im Breisgau,Baden-Württemberg,Deutschland,79100,2025-05-07,2025-05-09,https://www.finest-jobs.com/Stellenanzeige/Data-Analyst-Data-Scientist-D-1124383?cp=BA
Werkstudent Data Analytics - Algorithmik (m/w/d),Data Scientist,Rheinmetall AG,Düsseldorf,Nordrhein-Westfalen,Deutschland,40476,2025-03-25,2025-05-21,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=15939-BB-630509-7878-1263-S
(Senior) Data Scientist im Consulting,Informatiker/in,viadee Unternehmensberatung AG,Köln,Nordrhein-Westfalen,Deutschland,50668,2024-12-16,2025-05-20,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1000958505-S
Data Scientist (m/w/d),Berufsspezialist/in - Datenanalyse,Nagel-Group Logistics SE,Versmold,Nordrhein-Westfalen,Deutschland,33775,2025-01-20,2025-03-26,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001049703-S
Applikationsbetreuung (w/m/d) Business Warehouse,Data Scientist,Universitätsklinikum Ulm,,,Deutschland,,2025-04-08,2025-10-01,https://deutschland-stellenmarkt.de/job_show.php?id=bfa$bfa_11112-3762-1683594-0-S
"Junior Data Scientist (m/w/d) Reise, Leipzig",Data Scientist,CHECK24,Leipzig,Sachsen,Deutschland,04105,2025-04-01,2025-05-08,https://www.finest-jobs.com/Stellenanzeige/Junior-Data-Scientist-D-Reise-969324?cp=BA
"(Junior) Data Scientist (m/w/d) AurumTours, Leipzig",Data Scientist,CHECK24,Leipzig,Sachsen,Deutschland,04105,2025-03-21,2025-05-08,https://www.finest-jobs.com/Stellenanzeige/Junior-Data-Scientist-D-Aurumtours-1085520?cp=BA
Werkstudent Finance mit Fokus auf Digitalisierung (m/w/d),Data Scientist,ARAG SE,Düsseldorf,Nordrhein-Westfalen,Deutschland,40472,2025-05-22,2025-05-22,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=14244-BB-439336-7878-6216-S
PIM Data Process Expert (m/w/d),Data Scientist,REHAU Industries SE & Co. KG,Erlangen,Bayern,Deutschland,91058,2025-02-04,2025-05-13,https://jobboerse.arbeitsagentur.de/vamJB/stellenangebotFinden.html?refnr=10001-1001105341-S
"(Senior) Data Scientist (f/m/d),München,Hamburg",Data-Warehouse-Analyst/in,Ipsos GmbH,Hamburg,Hamburg,Deutschland,20097,2025-05-22,2025-05-22,https://www.finest-jobs.com/Stellenanzeige/Senior-Data-Scientist-F-M-D-1130272?cp=BA
